,period_open,period_close,transactions,positions,gross_leverage,starting_exposure,net_leverage,returns,ending_exposure,starting_value,ending_value,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,short_value,long_exposure,pnl,short_exposure,capital_used,orders,BTC,algorithm_period_return,alpha,beta,sharpe,sortino,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label,algo_volatility,benchmark_period_return,benchmark_volatility
2018-03-05 21:00:00+00:00,2018-03-05 14:31:00+00:00,2018-03-05 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.205}]",0.044208454006511536,4405.3,0.044208454006511536,0.0001520349878116889,4420.5,4405.3,4420.5,95571.68699999999,95571.68699999999,99992.18699999999,1,0,4420.5,0.0,4420.5,15.19999999999709,0.0,0.0,[],44.205,-7.813000000034265e-05,,,-0.045458209873062795,-0.06653860792147595,-0.005496130000000221,0.044722433494508884,0.0,0.0,30,2018-03,0.012718110271552622,0.0,0.0
2018-03-06 21:00:00+00:00,2018-03-06 14:31:00+00:00,2018-03-06 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.167}]",0.04417212970942316,4420.5,0.04417212970942316,-3.8002969172001855e-05,4416.7,4420.5,4416.7,95571.68699999999,95571.68699999999,99988.38699999999,1,0,4416.7,0.0,4416.7,-3.8000000000029104,0.0,0.0,[],44.167,-0.00011613000000032514,,,-0.06944716618741954,-0.10159071227473503,-0.005496130000000221,0.044722433494508884,0.0,0.0,31,2018-03,0.012504759761836409,0.0,0.0
2018-03-07 21:00:00+00:00,2018-03-07 14:31:00+00:00,2018-03-07 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 43.757}]",0.043780033989282784,4416.7,0.043780033989282784,-0.00041004761883001173,4375.7,4416.7,4375.7,95571.68699999999,95571.68699999999,99947.38699999999,1,0,4375.7,0.0,4375.7,-41.0,0.0,0.0,[],43.757,-0.0005261300000003466,,,-0.3294749908807728,-0.4793270099911728,-0.005496130000000221,0.044722433494508884,0.0,0.0,32,2018-03,0.012354221446908694,0.0,0.0
2018-03-08 21:00:00+00:00,2018-03-08 14:31:00+00:00,2018-03-08 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.235}]",0.044237129133025174,4375.7,0.044237129133025174,0.00047825162252612685,4423.5,4375.7,4423.5,95571.68699999999,95571.68699999999,99995.18699999999,1,0,4423.5,0.0,4423.5,47.80000000000291,0.0,0.0,[],44.235,-4.8130000000368156e-05,,,-0.024105425995154334,-0.035272502621506774,-0.005496130000000221,0.044722433494508884,0.0,0.0,33,2018-03,0.012236167604138167,0.0,0.0
2018-03-09 21:00:00+00:00,2018-03-09 14:31:00+00:00,2018-03-09 21:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.995}]",0.04496299219474633,4423.5,0.04496299219474633,0.0007600365805606746,4499.5,4423.5,4499.5,95571.68699999999,95571.68699999999,100071.18699999999,1,0,4499.5,0.0,4499.5,76.0,0.0,0.0,[],44.995,0.0007118699999997258,,,0.43733168350503154,0.649027342832795,-0.005496130000000221,0.04496299219474633,0.0,0.0,34,2018-03,0.012226256885241276,0.0,0.0
2018-03-12 20:00:00+00:00,2018-03-12 13:31:00+00:00,2018-03-12 20:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 45.43}]",0.04537795738201729,4499.5,0.04537795738201729,0.00043469055683331703,4543.0,4499.5,4543.0,95571.68699999999,95571.68699999999,100114.68699999999,1,0,4543.0,0.0,4543.0,43.5,0.0,0.0,[],45.43,0.001146869999999689,,,0.6881497895466392,1.0251363369011124,-0.005496130000000221,0.04537795738201729,0.0,0.0,35,2018-03,0.012096104987254887,0.0,0.0
2018-03-13 20:00:00+00:00,2018-03-13 13:31:00+00:00,2018-03-13 20:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.993}]",0.04496108347567313,4543.0,0.04496108347567313,-0.00043649939194234655,4499.3,4543.0,4499.3,95571.68699999999,95571.68699999999,100070.987,1,0,4499.3,0.0,4499.3,-43.69999999999709,0.0,0.0,[],44.993,0.0007098699999996683,,,0.4202373533342444,0.6227147012312858,-0.005496130000000221,0.04537795738201729,0.0,0.0,36,2018-03,0.011986597530189153,0.0,0.0
2018-03-14 20:00:00+00:00,2018-03-14 13:31:00+00:00,2018-03-14 20:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.61}]",0.04459542309405325,4499.3,0.04459542309405325,-0.0003827283126527359,4461.0,4499.3,4461.0,95571.68699999999,95571.68699999999,100032.68699999999,1,0,4461.0,0.0,4461.0,-38.30000000000291,0.0,0.0,[],44.61,0.00032686999999964605,,,0.19336471839263944,0.28532384303749636,-0.005496130000000221,0.04537795738201729,0.0,0.0,37,2018-03,0.011865581982417385,0.0,0.0
2018-03-15 20:00:00+00:00,2018-03-15 13:31:00+00:00,2018-03-15 20:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.662}]",0.04464508531652613,4461.0,0.04464508531652613,5.198300831410485e-05,4466.2,4461.0,4466.2,95571.68699999999,95571.68699999999,100037.88699999999,1,0,4466.2,0.0,4466.2,5.19999999999709,0.0,0.0,[],44.662,0.00037886999999958704,,,0.22031704051905526,0.32498967981989896,-0.005496130000000221,0.04537795738201729,0.0,0.0,38,2018-03,0.01170465882070177,0.0,0.0
2018-03-16 20:00:00+00:00,2018-03-16 13:31:00+00:00,2018-03-16 20:00:00+00:00,[],"[{'sid': Equity(3 [AAPL]), 'amount': 100, 'cost_basis': 44.28313, 'last_sale_price': 44.505}]",0.04449512786598038,4466.2,0.04449512786598038,-0.00015694053993764445,4450.5,4466.2,4450.5,95571.68699999999,95571.68699999999,100022.18699999999,1,0,4450.5,0.0,4450.5,-15.69999999999709,0.0,0.0,[],44.505,0.0002218699999996243,,,0.12965996286917378,0.19107686151006736,-0.005496130000000221,0.04537795738201729,0.0,0.0,39,2018-03,0.011557438340755507,0.0,0.0
